H,K,L,Distance,2theta/TOF,Mult
2,0,0,6.0029,14.757130302590003,2
0,0,1,3.9095,22.74554182368319,2
-2,0,1,3.2801,27.18671395646031,2
2,0,1,3.2718,27.25701105852457,2
-4,0,0,3.0014,29.76687932202077,2
-1,1,0,2.9974,29.807523119455677,4
3,1,0,2.4485,36.70399933307759,4
4,0,-1,2.3839,37.73564567893693,2
-1,-1,1,2.3795,37.80806826971899,1
1,-1,1,2.3779,37.83447410539476,4
4,0,1,2.3775,37.841081443706784,2
-3,1,1,2.0767,43.58219635869179,4
-3,1,-1,2.0735,43.65290711081127,4
-6,0,0,2.0009,45.323070392607995,2
0,0,2,1.9547,46.45624499552681,2
-5,1,0,1.8972,47.95102830600814,4
-2,0,2,1.8602,48.96667018697288,2
-2,0,-2,1.8571,49.05379131277311,4
6,0,-1,1.7832,51.23026418576496,2
6,0,1,1.7792,51.35381298582076,2
5,-1,-1,1.7083,53.65155216684083,4
-5,-1,-1,1.7054,53.75011491868272,4
4,0,-2,1.64,56.07809261925619,2
-1,-1,2,1.6378,56.160087223385666,1
-1,1,-2,1.6368,56.197440735845234,4
-4,0,-2,1.6359,56.2311035112729,2
0,2,0,1.5477,59.7496605006114,2
3,1,-2,1.5289,60.56074169424196,4
3,-1,2,1.5263,60.67475245044911,4
-8,0,0,1.5007,61.822127890062504,2
-7,-1,0,1.5002,61.84499677106002,4
2,2,0,1.4987,61.913711420099,1
0,2,1,1.439,64.78729075144102,4
8,0,-1,1.4023,66.70027261281328,2
7,-1,-1,1.4017,66.73255763820421,4
-6,0,2,1.4002,66.81341754483668,2
-2,-2,1,1.3997,66.84041773697453,1
-7,-1,-1,1.3995,66.85122439200072,4
2,2,1,1.3991,66.87284899058967,1
-6,0,-2,1.3963,67.02464397162345,2
4,2,0,1.3756,68.1703254743302,4
5,1,-2,1.3629,68.89443421735324,4
-5,1,-2,1.3599,69.06792225681134,4
0,0,3,1.3031,72.54192169554557,2
4,-2,-1,1.2981,72.86614161738055,4
-4,-2,-1,1.2971,72.93136719645092,4
2,0,-3,1.2742,74.46095928085627,2
2,0,3,1.2727,74.56362154386927,2
9,-1,0,1.225,78.00030344574053,4
6,-2,0,1.2242,78.06095681140626,4
0,2,2,1.2134,78.8902221022628,4
10,0,0,1.2005,79.90701062767444,2
