H,K,L,Distance,2theta/TOF,Mult
1,0,-1,5.2882,16.765035613302583,4
2,0,0,4.275,20.77821599194305,2
0,-1,-1,4.1541,21.38995863406281,4
-1,-1,1,3.7364,23.81437644765011,1
2,0,1,3.6085,24.67150459653887,4
0,0,2,3.365,26.488129095380398,2
2,1,0,3.3225,26.833243222991126,4
-1,0,2,3.1312,28.506222976121062,4
-2,-1,-1,2.9792,29.99387963104064,4
-1,1,-2,2.6932,33.2667857128327,8
-2,0,-2,2.6441,33.90302918438228,4
0,2,0,2.64,33.95727757266983,2
3,0,-1,2.6243,34.16665014924617,4
-2,1,-2,2.3642,38.06212391679195,4
1,-2,-1,2.362,38.098941532921195,8
-3,1,-1,2.35,38.301051231071526,8
2,2,0,2.2462,40.14522372848973,1
3,0,-2,2.1747,41.524978974906716,4
1,0,3,2.1698,41.623102012048825,4
-4,0,0,2.1375,42.28200049680394,2
-2,-2,1,2.1306,42.42553897044516,1
0,2,2,2.077,43.575579289700215,4
0,-1,3,2.0647,43.84858300847111,4
4,0,-1,2.0372,44.47186491305393,4
1,2,2,2.0183,44.91090749717887,4
3,1,-2,2.0108,45.0876138421422,8
1,1,-3,2.007,45.1776926312113,1
2,0,3,1.9864,45.672539633646366,4
4,-1,0,1.9813,45.796780256962904,4
-4,1,-1,1.9006,47.85988022961694,8
2,-2,2,1.8682,48.74331499763369,4
-3,-2,1,1.8612,48.93863492511058,8
-2,1,-3,1.8592,48.99473873602794,8
-4,0,-2,1.8042,50.591636120721546,4
3,0,-3,1.7627,51.87007319958268,4
-4,1,2,1.7073,53.68549665478414,8
0,3,-1,1.7027,53.84222086928624,4
0,0,-4,1.6825,54.541920367121016,2
-3,2,-2,1.6785,54.682737315927334,8
-1,2,-3,1.6763,54.76051142258572,8
3,-1,3,1.672,54.913194945077755,4
-1,-3,-1,1.6699,54.988085707212285,4
4,2,0,1.6612,55.30063985788723,4
-5,0,1,1.6573,55.441961945621706,4
-1,0,4,1.6508,55.67918857805175,4
-2,3,0,1.6274,56.5511303653492,4
-4,-2,-1,1.6128,57.109849697095804,8
-2,2,-3,1.5872,58.11809016808795,8
2,-3,1,1.5818,58.33557597685263,8
5,-1,-1,1.5812,58.35984703124498,4
-1,-1,-4,1.5756,58.58740804180235,1
2,0,-4,1.5656,58.99845888902833,4
4,0,3,1.5475,59.758168094170394,4
1,3,-2,1.5342,60.32973487235837,8
5,0,-2,1.5244,60.75835611812583,4
2,-1,-4,1.501,61.808415185301754,8
-4,-2,-2,1.4896,62.33408566546159,4
4,-1,3,1.485,62.54890229454671,8
-3,-2,3,1.4659,63.45799436734834,8
-2,3,2,1.4651,63.49668700475139,8
5,1,-2,1.4646,63.520895478800966,8
-3,-3,1,1.4617,63.661694014928315,1
3,0,-4,1.4488,64.29616995036463,4
-6,0,0,1.425,65.50300023102895,2
0,-2,4,1.4188,65.82540577946878,4
-5,2,-1,1.4036,66.63043689240502,8
-1,2,-4,1.3997,66.84041773697453,8
3,1,-4,1.3972,66.97577186380964,8
6,0,1,1.394,67.14988908384859,4
0,-3,3,1.3847,67.66150235716667,4
-6,1,0,1.3757,68.1646890886287,4
-3,-3,2,1.3681,68.5959456369878,1
-1,3,3,1.3668,68.67030513142764,4
5,0,3,1.3599,69.06792225681134,4
4,3,0,1.3586,69.14339471363597,4
-6,-1,-1,1.3479,69.7714528434467,4
-2,2,4,1.3466,69.84860378873292,8
4,2,-3,1.335,70.54532631894766,8
4,-3,1,1.3318,70.74019547527324,8
1,0,-5,1.3296,70.8748494535772,4
4,0,4,1.322,71.34434764473265,4
5,2,-2,1.3201,71.46278434134068,8
0,4,0,1.32,71.46902973868393,2
2,3,-3,1.3173,71.63810701054416,8
5,-1,3,1.3169,71.66322980679492,8
-6,0,2,1.3121,71.9662116603558,4
0,1,5,1.3042,72.47101681492055,4
1,1,5,1.2893,73.44455788699597,1
-2,0,5,1.2838,73.81121972345144,4
4,1,4,1.2824,73.9051955306362,4
1,4,1,1.2807,74.01966352756769,4
6,1,-2,1.2734,74.51567368295856,8
-3,-2,-4,1.2701,74.74231089089334,8
-2,4,0,1.2612,75.36120240431981,4
4,3,-2,1.2598,75.45958894294289,8
6,-2,0,1.2539,75.87736044493121,4
2,-1,5,1.2475,76.33637170702043,8
3,-3,-3,1.2454,76.48833028620125,4
2,-4,-1,1.2396,76.91153764999282,8
6,-2,-1,1.2327,77.42184441142243,8
0,-4,-2,1.2288,77.71363007593101,4
-3,0,-5,1.217,78.61161802073319,4
-1,4,-2,1.2163,78.66561845387379,8
-5,-2,3,1.2089,79.24160469831575,8
5,3,1,1.2065,79.43044836359375,8
1,-3,-4,1.204,79.62823807684451,8
-6,0,-3,1.2028,79.72357071572979,4
-7,0,1,1.2017,79.81118460160359,4
