H,K,L,Distance,2theta/TOF,Mult
1,0,0,8.55,10.346323455661535,2
0,0,1,6.73,13.155315144219074,2
0,1,0,5.28,16.791260034704617,2
-1,1,0,4.4924,19.762344503390963,4
3,0,0,2.85,31.387835021822912,2
0,1,-2,2.8377,31.52741718963635,4
1,-2,0,2.5224,35.5920873866794,4
3,1,0,2.5079,35.80481792321289,4
0,2,1,2.4576,36.56327365409918,4
0,0,3,2.2433,40.199358532095715,2
3,2,0,1.9367,46.913730481497694,4
0,3,0,1.76,51.9555825241163,2
1,3,0,1.7238,53.131083717296264,4
-5,0,0,1.71,53.5939492867144,2
0,2,3,1.7094,53.61426496199057,4
-5,1,0,1.6268,56.573865107172054,4
0,-1,4,1.603,57.491439067165615,4
0,3,-2,1.5595,59.25220417402253,4
-3,3,0,1.4974,61.973395526667495,4
5,2,0,1.4352,64.97989347780894,4
0,0,5,1.346,69.8842744373937,2
-1,4,0,1.3045,72.45170544687885,4
0,-4,1,1.2953,73.04909648677189,4
5,3,0,1.2264,77.89441277888419,4
7,0,0,1.2214,78.27407574314333,2
0,-3,4,1.2161,78.68106240083834,4
