No.,H,K,L,Mult,2theta/,Ints/
1,1,0,-1,4,16.765035613302583,27.88329051176399
2,2,0,0,2,20.77821599194305,26.31112661702657
3,0,-1,-1,4,21.38995863406281,113.58547181710163
4,-1,-1,1,1,23.81437644765011,8.849209880654582
5,2,0,1,4,24.67150459653887,44.81462002955186
6,0,0,2,2,26.4881290953804,13.58623562813797
7,2,1,0,4,26.83324322299113,82.88121908373778
8,-1,0,2,4,28.506222976121062,75.85404964510981
9,-2,-1,-1,4,29.99387963104064,42.53289096256693
10,-1,1,-2,8,33.2667857128327,27.405426115070323
11,-2,0,-2,4,33.90302918438228,6.606641037907078
12,0,2,0,2,33.95727757266983,37.338068152391806
13,3,0,-1,4,34.16665014924617,12.357397729371948
14,-2,1,-2,4,38.06212391679195,8.037760671140795
15,1,-2,-1,8,38.0989415329212,0.7059148907176558
16,-3,1,-1,8,38.301051231071526,4.469703312473669
17,2,2,0,1,40.14522372848973,4.54152431318273
18,3,0,-2,4,41.52497897490672,1.7973792365427876
19,1,0,3,4,41.623102012048825,1.671796654826764
20,-4,0,0,2,42.28200049680394,0.008923491018978805
21,-2,-2,1,1,42.42553897044516,2.665758862827304
22,0,2,2,4,43.575579289700215,13.864917755382365
23,0,-1,3,4,43.84858300847111,0.7497828359371944
24,4,0,-1,4,44.47186491305393,31.072039608616535
25,1,2,2,4,44.91090749717887,22.53746861735058
26,3,1,-2,8,45.0876138421422,39.31914734620853
27,1,1,-3,1,45.1776926312113,5.83687118446274
28,2,0,3,4,45.672539633646366,0.32344002159847973
29,4,-1,0,4,45.7967802569629,21.703559410153048
30,-4,1,-1,8,47.85988022961694,0.37222468854160545
31,2,-2,2,4,48.74331499763369,0.5945465977271532
32,-3,-2,1,8,48.93863492511058,16.838370197221494
33,-2,1,-3,8,48.99473873602794,8.244183011296665e-05
34,-4,0,-2,4,50.591636120721546,0.16340330923744645
35,3,0,-3,4,51.87007319958268,23.52350583936168
36,-4,1,2,8,53.68549665478414,4.353694136602678
37,0,3,-1,4,53.84222086928624,9.432234084453713
38,0,0,-4,2,54.541920367121016,2.1948911348050046
39,-3,2,-2,8,54.68273731592733,1.5776647912476212
40,-1,2,-3,8,54.76051142258572,4.153050083110682
41,3,-1,3,4,54.91319494507776,3.3522423038110936
42,-1,-3,-1,4,54.988085707212285,3.6814617020111577
43,4,2,0,4,55.30063985788723,0.23308782824135085
44,-5,0,1,4,55.441961945621706,4.837793269192971
45,-1,0,4,4,55.67918857805175,10.432970510531023
46,-2,3,0,4,56.5511303653492,10.918321796601333
47,-4,-2,-1,8,57.10984969709581,30.040782400548302
48,-2,2,-3,8,58.11809016808795,0.32595318843008797
49,2,-3,1,8,58.33557597685263,13.56969527033945
50,5,-1,-1,4,58.35984703124498,1.2472715012555808
51,-1,-1,-4,1,58.58740804180235,0.7540316455187575
52,2,0,-4,4,58.99845888902833,3.238587229882027
53,4,0,3,4,59.7581680941704,0.0003794742233242462
54,1,3,-2,8,60.32973487235837,5.188010214819157
55,5,0,-2,4,60.75835611812583,1.3463413892037046
56,2,-1,-4,8,61.80841518530176,4.173592257351199
57,-4,-2,-2,4,62.33408566546159,0.021764974374845765
58,4,-1,3,8,62.54890229454671,0.0006396687158329509
59,-3,-2,3,8,63.45799436734834,20.02403067773107
60,-2,3,2,8,63.49668700475139,3.714737552709077
61,5,1,-2,8,63.520895478800966,13.223323421768734
62,-3,-3,1,1,63.66169401492832,0.13059843925542627
63,3,0,-4,4,64.29616995036463,0.2090750171595298
64,-6,0,0,2,65.50300023102895,2.964575084980347
65,0,-2,4,4,65.82540577946878,3.8678348937503064
66,-5,2,-1,8,66.63043689240502,3.3357742872435794
67,-1,2,-4,8,66.84041773697453,12.078795777960924
68,3,1,-4,8,66.97577186380964,9.173632591582802
69,6,0,1,4,67.14988908384859,1.6126165913171915
70,0,-3,3,4,67.66150235716667,0.21754773078407058
71,-6,1,0,4,68.1646890886287,5.093711470761338
72,-3,-3,2,1,68.5959456369878,1.4057552784979748
73,-1,3,3,4,68.67030513142764,6.69871310181078
74,5,0,3,4,69.06792225681134,6.320419978110472
75,4,3,0,4,69.14339471363597,6.274721458967574
76,-6,-1,-1,4,69.7714528434467,4.659186484991103
77,-2,2,4,8,69.84860378873292,2.2341956282137696
78,4,2,-3,8,70.54532631894766,0.0002669210040946635
79,4,-3,1,8,70.74019547527324,0.11861324564351987
80,1,0,-5,4,70.8748494535772,0.039378592728854876
81,4,0,4,4,71.34434764473265,0.08435223225405827
82,5,2,-2,8,71.46278434134068,1.6432416437632724
83,0,4,0,2,71.46902973868393,5.730858922866127
84,2,3,-3,8,71.63810701054416,0.00021151632862285934
85,5,-1,3,8,71.66322980679492,5.522384009129323
86,-6,0,2,4,71.9662116603558,0.4442703096955824
87,0,1,5,4,72.47101681492055,6.116285808910732
88,1,1,5,1,73.44455788699597,0.16334833252394368
89,-2,0,5,4,73.81121972345144,3.1404804645411133
90,4,1,4,4,73.9051955306362,2.6876993659756656
91,1,4,1,4,74.01966352756769,0.3271022736294872
92,6,1,-2,8,74.51567368295856,2.0315043501868755
93,-3,-2,-4,8,74.74231089089334,0.26040657181790666
94,-2,4,0,4,75.36120240431981,1.786014460219935
95,4,3,-2,8,75.45958894294289,1.5476148051573444
96,6,-2,0,4,75.87736044493121,2.8146726900299353
97,2,-1,5,8,76.33637170702043,5.5033768851919875
98,3,-3,-3,4,76.48833028620125,1.2818360406249076
99,2,-4,-1,8,76.91153764999282,3.647809036408331
100,6,-2,-1,8,77.42184441142243,2.132055083668919
101,0,-4,-2,4,77.71363007593101,1.68230565005771
102,-3,0,-5,4,78.61161802073319,0.8883578842628317
103,-1,4,-2,8,78.66561845387379,8.790282636996775
104,-5,-2,3,8,79.24160469831575,10.979177112682619
105,5,3,1,8,79.43044836359375,1.0335663471932703
106,1,-3,-4,8,79.62823807684451,2.531028763507055
107,-6,0,-3,4,79.72357071572979,0.07514156111938183
108,-7,0,1,4,79.81118460160359,0.010697547754930377
