dataId,No,formula,symbolSet,spaceGroup,spaceGroupNo,crystalSys,a,b,c,alpha,beta,gamma
1522982.0,0,Mn4 Ni8 Sn4,Mn Ni Sn,F-43m,216,0,6.05,6.05,6.05,90.0,90.0,90.0
1525299.0,1,V1 Fe0.9 Co2.1,Co Fe V,Pm-3m,221,0,3.579,3.579,3.579,90.0,90.0,90.0
1525266.0,2,Ga1 Fe0.5 Co0.5,Co Fe Ga,Pm-3m,221,0,2.887,2.887,2.887,90.0,90.0,90.0
7115402.0,3,Ag4 C16 N12,Ag C N,Ima2,46,2,8.047,9.871,6.261,90.0,90.0,90.0
1011037.0,4,Co2 S2,Co S,P6_3/mmc,194,4,3.377,3.377,5.15,90.0,90.0,120.0
9012383.0,5,Ni30 As12,As Ni,P6_3cm,185,4,6.825,6.825000000000001,12.513,90.0,90.0,120.0
1509809.0,6,Li4 Ag8 Ge4,Ag Ge Li,Fm-3m,225,0,6.326,6.326,6.326,90.0,90.0,90.0
9014900.0,7,Na1 S1,Na S,R-3m,166,3,3.99,3.99,3.99,68.08,68.08,68.08
4308986.0,8,Tl4 C4 O8,C O Tl,P2_1/c,14,5,6.6141,5.8404,6.662,90.0,99.22,90.0
1007054.0,9,U4 Ge4 O16,Ge O U,I4_1/a,88,1,5.084,5.084,11.226,90.0,90.0,90.0
1514089.0,10,Li4 O4,Li O,P6_3/mmc,194,4,3.164,3.1640000000000006,7.724,90.0,90.0,120.0
2106901.0,11,Si16 Pb32 O64,O Pb Si,C2,5,5,19.43,7.64,12.24,90.0,99.33,90.0
1521866.0,12,Tb2 Co4 Si4,Co Si Tb,I4/mmm,139,1,3.896,3.896,9.766,90.0,90.0,90.0
1542133.0,13,Ba12 Fe4 S20,Ba Fe S,Pnma,62,2,12.405,9.516,8.5212,90.0,90.0,90.0
7129000.0,14,Ca4 Ni2 N4,Ca N Ni,I4/mmm,139,1,3.57206,3.57206,12.19453,90.0,90.0,90.0
1532942.0,15,Sm6 Ge8 Ru4,Ge Ru Sm,C2/m,12,6,10.899,8.139,4.319,90.0,90.0,109.29
1522516.0,16,Mo1.73 Ir0.27,Ir Mo,Im-3m,229,0,3.1404,3.1404,3.1404,90.0,90.0,90.0
1530319.0,17,Mn4 P4 O14,Mn O P,C2/m,12,5,6.630000000000001,8.58,4.54,90.0,102.66,90.0
8104411.0,18,Rb12 Al2 Sb6,Al Rb Sb,P2_1/m,11,5,10.624,6.26,12.377,90.0,100.70000000000002,90.0
1008443.0,19,Nd4 Fe4 Si8,Fe Nd Si,Cmcm,63,2,4.072,16.896,3.996,90.0,90.0,90.0
1529971.0,20,K4 Mo4 O16,K Mo O,P-1,2,6,7.639999999999999,8.908999999999999,7.654,109.42,95.75,119.18999999999998
1530335.0,21,U12 Zn102,U Zn,P-6m2,187,4,8.99,8.99,26.35,90.0,90.0,120.0
4001329.0,22,Hf8 Bi8 O28,Bi Hf O,I4_122,98,1,7.68966,7.68966,10.85169,90.0,90.0,90.0
9011194.0,23,U4 Te4 O20,O Te U,Pbcm,57,2,5.363,10.161,7.862,90.0,90.0,90.0
2020249.0,24,Nb4 Cl20,Cl Nb,P2_1/c,14,5,7.784999999999999,10.201,8.074,90.0,90.58,90.0
1509956.0,25,Yb3.7 Al19.876 Ag14.124,Ag Al Yb,P6_3/mmc,194,4,9.35,9.35,9.111,90.0,90.0,120.0
8103662.0,26,P8 Pb12 O32,O P Pb,C2/c,15,5,13.816,5.692,9.429,90.0,102.36,90.0
2107517.0,27,Sn3.9264 Se4,Se Sn,Pnma,62,2,11.64398,4.24224,4.36522,90.0,90.0,90.0
1542159.0,28,Ni12 Te8 O32,Ni O Te,P6_3mc,186,4,12.993,12.993,4.958,90.0,90.0,120.0
1527601.0,29,Na4 Cr6 O18,Cr Na O,P2_1/m,11,5,8.518,5.998,7.536,90.0,111.122,90.0
1509446.0,30,Li8 Ag4 Sb4,Ag Li Sb,Fd-3m,227,0,6.586,6.586,6.586,90.0,90.0,90.0
2017580.0,31,Ce6 Mg2.692 Zn19.308,Ce Mg Zn,Immm,71,2,4.5641,8.9542,13.7261,90.0,90.0,90.0
9008932.0,32,Fe4 P4,Fe P,Pnma,62,2,5.793,5.187,3.093,90.0,90.0,90.0
1528931.0,33,Sm8 Ga10.48 Ge11.52,Ga Ge Sm,Cmmm,65,2,4.21038,35.8075,4.14023,90.0,90.0,90.0
1534511.0,34,Mo30 S38,Mo S,P6_3/m,176,4,9.1838,9.1838,19.0483,90.0,90.0,120.0
9016399.0,35,Hg2 Pt4 Se6,Hg Pt Se,C2/m,12,1,7.3477,7.3477,5.2955,90.0,90.0,90.0
1535311.0,36,Na4 In2.68 Bi4,Bi In Na,Pnma,62,2,8.062,4.8684,9.2455,90.0,90.0,90.0
1100890.0,37,Fe2 H40.0 C52,C Fe H,P-1,2,6,7.7278,10.5188,12.0885,101.449,100.901,95.453
2002403.0,38,Cu8 W4 O16,Cu O W,P1,1,6,7.9018,8.2008,5.8718,96.506,94.03300000000002,110.27
1005027.0,39,Sr6 Ge4 N4,Ge N Sr,P2_1/m,11,5,9.032,3.883,9.648,90.0,112.42000000000002,90.0
9005936.0,40,Mn4 S4,Mn S,Fm-3m,225,0,5.078,5.078,5.078,90.0,90.0,90.0
2002359.0,41,Nb8 Ni16 O36,Nb Ni O,Pbcn,60,2,5.0545,8.7688,14.3041,90.0,90.0,90.0
2104406.0,42,Bi12 Mo4,Bi Mo,P2_1/m,11,5,14.53,5.648,8.662,90.0,97.979,90.0
4002711.0,43,Eu4 In4 Ag20,Ag Eu In,Pnma,62,2,9.12,5.6453,11.437,90.0,90.0,90.0
4001741.0,44,Gd18 B18 O54,B Gd O,R32,155,4,6.6357,6.6357,26.706,90.0,90.0,120.0
4327895.0,45,Li4 Nd4 Ge8,Ge Li Nd,Pnma,62,2,7.773,3.9361,10.644,90.0,90.0,90.0
1510582.0,46,Sm8 Au48,Au Sm,P4_2/ncm,138,1,10.39,10.39,9.79,90.0,90.0,90.0
1539092.0,47,Bi2 Br2 O2,Bi Br O,P4/nmm,129,1,3.923,3.923,8.092,90.0,90.0,90.0
9007973.0,48,Na6 Y2 Cl12,Cl Na Y,P2_1/c,14,5,6.8558,7.255,10.1444,90.0,90.869,90.0
1533452.0,49,Y4 P12 O36,O P Y,P2_1/m,11,5,6.997,9.693,10.989,90.0,91.84,90.0
9010920.0,50,Bi8 Pb4 S16,Bi Pb S,Pnma,62,2,11.5609,14.2968,4.01,90.0,90.0,90.0
4031566.0,51,Rh16 C40 O38,C O Rh,P-1,2,6,9.18,17.76,10.46,75.95,69.06,92.36
2014743.0,52,Hg2 H20 C24,C H Hg,P2_1/c,14,5,5.622200000000001,8.0912,10.5852,90.0,95.485,90.0
1527099.0,53,Cs2 Ni2 F6,Cs F Ni,P6_3/mmc,194,4,6.236,6.236,5.225,90.0,90.0,120.0
1524971.0,54,Nd0.6 Tm0.4 Co5,Co Nd Tm,P6/mmm,191,4,4.973,4.973,3.983,90.0,90.0,120.0
1528700.0,55,Sr4 Ca4 Pb4,Ca Pb Sr,Pnma,62,2,8.509,5.189,9.74,90.0,90.0,90.0
2101049.0,56,W6 O16,O W,C222,21,2,6.386,10.43,3.798,90.0,90.0,90.0
1522830.0,57,Nb0.02 Re1.98,Nb Re,P6_3/mmc,194,4,2.7553,2.7553,4.4465,90.0,90.0,120.0
1548811.0,58,Ni1 H2 O2,H Ni O,P-3m1,164,4,3.1268,3.1268,4.606,90.0,90.0,120.0
9003682.0,59,Mn20 Si20 O60,Mn O Si,P-1,2,6,9.7834,10.5023,12.2338,108.682,103.273,82.213
