dataId,No,formula,symbolSet,spaceGroup,spaceGroupNo,crystalSys,a,b,c,alpha,beta,gamma
1522982,0,Mn4 Ni8 Sn4,Mn Ni Sn,F-43m,216,0,6.05,6.05,6.05,90,90,90
1525299,1,V1 Fe0.9 Co2.1,Co Fe V,Pm-3m,221,0,3.579,3.579,3.579,90,90,90
1525266,2,Ga1 Fe0.5 Co0.5,Co Fe Ga,Pm-3m,221,0,2.887,2.887,2.887,90,90,90
7115402,3,Ag4 C16 N12,Ag C N,Ima2,46,2,8.047,9.871,6.261,90,90,90
1011037,4,Co2 S2,Co S,P6_3/mmc,194,4,3.377,3.377,5.15,90,90,120
9012383,5,Ni30 As12,As Ni,P6_3cm,185,4,6.825,6.825,12.513,90,90,120
1509809,6,Li4 Ag8 Ge4,Ag Ge Li,Fm-3m,225,0,6.326,6.326,6.326,90,90,90
9014900,7,Na1 S1,Na S,R-3m,166,3,3.99,3.99,3.99,68.08,68.08,68.08
4308986,8,Tl4 C4 O8,C O Tl,P2_1/c,14,5,6.6141,5.8404,6.662,90,99.22,90
1007054,9,U4 Ge4 O16,Ge O U,I4_1/a,88,1,5.084,5.084,11.226,90,90,90
1514089,10,Li4 O4,Li O,P6_3/mmc,194,4,3.164,3.164,7.724,90,90,120
2106901,11,Si16 Pb32 O64,O Pb Si,C2,5,5,19.43,7.64,12.24,90,99.33,90
1521866,12,Tb2 Co4 Si4,Co Si Tb,I4/mmm,139,1,3.896,3.896,9.766,90,90,90
1542133,13,Ba12 Fe4 S20,Ba Fe S,Pnma,62,2,12.405,9.516,8.5212,90,90,90
7129000,14,Ca4 Ni2 N4,Ca N Ni,I4/mmm,139,1,3.57206,3.57206,12.19453,90,90,90
1532942,15,Sm6 Ge8 Ru4,Ge Ru Sm,C2/m,12,6,10.899,8.139,4.319,90,90,109.29
1522516,16,Mo1.73 Ir0.27,Ir Mo,Im-3m,229,0,3.1404,3.1404,3.1404,90,90,90
1530319,17,Mn4 P4 O14,Mn O P,C2/m,12,5,6.63,8.58,4.54,90,102.66,90
8104411,18,Rb12 Al2 Sb6,Al Rb Sb,P2_1/m,11,5,10.624,6.26,12.377,90,100.7,90
1008443,19,Nd4 Fe4 Si8,Fe Nd Si,Cmcm,63,2,4.072,16.896,3.996,90,90,90
1529971,20,K4 Mo4 O16,K Mo O,P-1,2,6,7.64,8.909,7.654,109.42,95.75,119.19
1530335,21,U12 Zn102,U Zn,P-6m2,187,4,8.99,8.99,26.35,90,90,120
4001329,22,Hf8 Bi8 O28,Bi Hf O,I4_122,98,1,7.68966,7.68966,10.85169,90,90,90
9011194,23,U4 Te4 O20,O Te U,Pbcm,57,2,5.363,10.161,7.862,90,90,90
2020249,24,Nb4 Cl20,Cl Nb,P2_1/c,14,5,7.785,10.201,8.074,90,90.58,90
1509956,25,Yb3.7 Al19.876 Ag14.124,Ag Al Yb,P6_3/mmc,194,4,9.35,9.35,9.111,90,90,120
8103662,26,P8 Pb12 O32,O P Pb,C2/c,15,5,13.816,5.692,9.429,90,102.36,90
2107517,27,Sn3.9264 Se4,Se Sn,Pnma,62,2,11.64398,4.24224,4.36522,90,90,90
1542159,28,Ni12 Te8 O32,Ni O Te,P6_3mc,186,4,12.993,12.993,4.958,90,90,120
1527601,29,Na4 Cr6 O18,Cr Na O,P2_1/m,11,5,8.518,5.998,7.536,90,111.122,90
1509446,30,Li8 Ag4 Sb4,Ag Li Sb,Fd-3m,227,0,6.586,6.586,6.586,90,90,90
2017580,31,Ce6 Mg2.692 Zn19.308,Ce Mg Zn,Immm,71,2,4.5641,8.9542,13.7261,90,90,90
9008932,32,Fe4 P4,Fe P,Pnma,62,2,5.793,5.187,3.093,90,90,90
1528931,33,Sm8 Ga10.48 Ge11.52,Ga Ge Sm,Cmmm,65,2,4.21038,35.8075,4.14023,90,90,90
1534511,34,Mo30 S38,Mo S,P6_3/m,176,4,9.1838,9.1838,19.0483,90,90,120
9016399,35,Hg2 Pt4 Se6,Hg Pt Se,C2/m,12,1,7.3477,7.3477,5.2955,90,90,90
1535311,36,Na4 In2.68 Bi4,Bi In Na,Pnma,62,2,8.062,4.8684,9.2455,90,90,90
1100890,37,Fe2 H40.0 C52,C Fe H,P-1,2,6,7.7278,10.5188,12.0885,101.449,100.901,95.453
